Date,Buy_Date,Symbol,Units,Buy_Price,Sell_Price,Invested_Amount,Received_Amount,Net_PL,PL_Pct,Reason
2026-01-04,2025-07-31,DHEL,10,100.0,592.2,1000.0,5509.18,4509.18,450.92,IPO SEll
2026-01-04,2025-08-27,BANDIPUR,10,100.0,791.2,1000.0,7343.03,6343.03,634.3,IPO Sell Maybe Hold Long
2026-01-29,2026-01-20,TPC,10,375.995375,386.5,3759.95,3820.59,60.64,1.61,After Loss i Chased BE
2026-02-05,2026-01-29,KKHC,20,249.97925,248.0,4999.58,4916.4,-83.18,-1.66,Gamble failed so i chsed BE and sold immediately always do partial Sold
2026-02-11,2026-01-29,NHPC,10,224.88549999999995,221.3,2248.85,2177.67,-71.19,-3.17,Partial sold at Best BE
