Symbol,LTP,Change,High52,Low52,LastUpdated
NHPC,218.0,0.0,248.5,178.6,2026-02-17 21:42
HBL,188.6,0.0,261.0,184.0,2026-02-17 21:42
ULHC,530.1,0.0,625.0,411.7,2026-02-17 21:42
SGHC,392.1,0.0,615.0,296.0,2026-02-17 21:42
SHPC,536.0,0.0,684.9,443.1,2026-02-17 21:42
