Date,Stock,Type,Medium,Amount,Charge,Remark,Reference
2026-02-21,,Deposit,Global,1100.0,0,Migrated from Log,
2026-02-21,SGHC,Buy,Collateral,-4372.24,0,Migrated from Log,
2026-02-21,NHPC,Sell,Collateral,2177.67,0,Migrated from Log,
2026-02-21,KKHC,Sell,Collateral,4916.4,0,Migrated from Log,
2026-02-21,,Deposit,Global,1293.42,0,Migrated from Log,
2026-02-21,ULHC,Buy,Collateral,-5114.01,0,Migrated from Log,
